Illness;Link;Symptoms
A guide to clinical trials for cancer;https://medlineplus.gov/ency/patientinstructions/000823.htm;The decision to join a clinical trial is a personal one. It is a decision you have to make based on your values, goals, and expectations. Plus, there are benefits and risks when you join a trial.Some of the benefits include:You may receive a new treatment that is not yet available to other people.You may receive treatment that is better than what is currently available.You will receive close attention and monitoring by your providers.You will help researchers understand your cancer and learn better ways to help other people with the same cancer.Some of the potential risks include:You may experience side effects.The new treatment may not work for you.The new treatment may not be as good as standard treatment.You may need more office visits and more tests.Your insurance may not pay for all of your costs in a clinical trial.
A guide to help children understand cancer;https://medlineplus.gov/ency/patientinstructions/000921.htm;"Each child is different. Some children understand more than others. Your day-to-day approach will depend on your child's age and maturity. Here is a general guide.CHILDREN AGES 0 to 2 YEARSChildren this age:Only understand things that they can sense by touch and sightDo not understand cancerFocus on what is happening in the momentAre afraid of medical tests and painAre afraid of being away from their parentsHow to talk to children ages 0 to 2 years:Talk to your child about what is happening in the moment or that day.Explain procedures and tests before you arrive. For example, let your child know that the needle will hurt for a bit, and it is OK to cry.Give your child choices, such as fun ways to take medicine, new books or videos during treatments, or mixing medicines with different juices.Let your child know you will always be by their side at the hospital.Explain how long they will be in the hospital and when they will be going home.CHILDREN AGES 2 to 7 YEARSChildren this age:May understand cancer when you explain using simple words.Look for cause and effect. They may blame the illness on a specific event, such as not finishing dinner.Are afraid of being away from their parents.May be afraid that that they will have to live in the hospital.Are afraid of medical tests and pain.How to talk to children ages 2 to 7 years:Use simple terms like ""good cells"" and ""bad cells"" to explain the cancer. You can say it is a contest between the two types of cells.Tell your child that they need treatment so that the hurting will go away and the good cells can get stronger.Make sure your child knows that nothing they did caused the cancer.Explain procedures and tests before you arrive. Let your child know what will happen, and it is OK to be scared or cry. Assure your child that health care providers have ways to make tests less painful.Make sure you or your child's health care team offers choices and rewards.Let your child know you will be by their side at the hospital and when they go home.CHILDREN AGES 7 to 12 YEARSChildren this age:Understand cancer in a basic senseThink of their illness as symptoms and what they are not able to do compared to other kidsUnderstand that getting better comes from taking medicines and doing what providers sayAre not likely to blame their illness on something they didAre afraid of pain and being hurtWill hear information about cancer from outside sources like school, TV, and the InternetHow to talk to children ages 7 to 12 years:Explain cancer cells as ""troublemaker"" cells.Tell your child that the body has different types of cells that need to do different jobs in the body. The cancer cells get in the way of the good cells and treatments help to get rid of the cancer cells.Explain procedures and tests before you arrive and that it is OK to be nervous or sick of it.Ask your child to let you know about things they have heard about cancer from other sources or any worries they have. Make sure the information they have is accurate.CHILDREN AGES 12 YEARS AND OLDERChildren this age:Can understand complex conceptsCan imagine things that have not happened to themMay have many questions about their illnessThink of their illness as symptoms and what they miss or are not able to do compared to other kidsUnderstand that getting better comes from taking medicines and doing what providers sayMay want to help make decisionsMay be more concerned about physical side effects such as hair loss or weight gainWill hear information about cancer from outside sources like school, TV, and the InternetHow to talk to children ages 12 years and older:Explain cancer as a disease when some cells go wild and grow too quickly.The cancer cells get in the way of how the body needs to work.Treatments will kill the cancer cells so the body can work well and symptoms will go away.Be honest about procedures, tests, and side effects.Talk openly with your teen about treatment options, concerns, and fears.For older children, there may be online programs that can help them learn about their cancer and ways to cope."
A guide to herbal remedies;https://medlineplus.gov/ency/patientinstructions/000868.htm;"Many people think that using plants to treat illness is safer than taking medicine. People have been using plants in folk medicine for centuries. So, it is easy to see the appeal. Yet ""natural"" does not mean safe. Unless taken as directed, some herbals can interact with other medicines or be toxic at high doses. Also, some may cause side effects.Here are some examples:Kava is an herb used for anxiety, insomnia, symptoms of menopause, and other ailments. Some studies show it may work for anxiety. But kava can also cause severe liver damage. The FDA has issued a warning against its use.St. John's Wort may work for mild to moderate depression. However, it can interact with birth control pills, antidepressants, and other drugs. It can also cause side effects such as stomach upset and anxiety.Yohimbe is a bark used to treat erectile dysfunction. The bark can cause high blood pressure, increased heart rate, anxiety, and other side effects. It can interact with certain medicines for depression. Taking it in high does or for a long time can be dangerous.Of course, some herbals have been tested and work well for their intended purpose. Many are also quite safe, but the word ""natural"" will not tell you which ones are safe and which ones are not safe."
A1C test;https://medlineplus.gov/ency/article/003640.htm;No special preparation is needed. The food you have recently eaten does not affect the A1C test, so you do not need to fast to prepare for this blood test.
Aarskog syndrome;https://medlineplus.gov/ency/article/001654.htm;"Symptoms of this condition include:Belly button that sticks outBulge in the groin or scrotumDelayed sexual maturityDelayed teethDownwardpalpebral slantto eyes (palpebral slant is the direction of the slant from the inner to outer corner of the eye)Hairline with a ""widow's peak""Mildly sunken chest (pectus excavatum)Mild to moderate cognitive problemsMild to moderateshort height, which may not be obvious until the child is 1 to 3 years oldPoorly developed middle section of the faceRounded faceScrotum surrounds the penis (shawl scrotum)Short fingers and toes with mildwebbingSingle crease in the palm of the handSmall, broad hands and feet with short fingers and curved-in fifth fingerSmall nose with nostrils tipped forwardTesticles that have not come down (undescended)Top portion of the ear folded over slightlyWide groove above the upper lip, crease below the lower lipWide-set eyes with droopy eyelids"
Aase syndrome;https://medlineplus.gov/ency/article/001662.htm;Symptoms may include:Absent or small knucklesCleft palateDeformed earsDroopy eyelidsInability to fully extend the joints from birthNarrow shouldersPale skinTriple-jointed thumbs
Abdomen - swollen;https://medlineplus.gov/ency/article/003122.htm;A swollen abdomen that is caused by eating a heavy meal will go away when you digest the food. Eating smaller amounts will help prevent swelling.For a swollen abdomen caused by swallowing air:Avoid carbonated beverages.Avoid chewing gum or sucking on candies.Avoid drinking through a straw or sipping the surface of a hot beverage.Eat slowly.For a swollen abdomen caused bymalabsorption, try changing your diet and limiting milk. Talk to your health care provider.For irritable bowel syndrome:Decrease emotionalstress.Increase dietaryfiber.Talk to your provider.For a swollen abdomen due to other causes, follow the treatment prescribed by your provider.
Abdominal aortic aneurysm;https://medlineplus.gov/ency/article/000162.htm;Aneurysms can develop slowly over many years, often with no symptoms. Symptoms may come on quickly if the aneurysm expands rapidly, tears open or leaks blood within the wall of the vessel (aortic dissection).Symptoms of rupture include:Pain in the abdomen or back. The pain may be severe, sudden, persistent, or constant. It may spread to the groin, buttocks, or legs.Passing out.Clammy skin.Dizziness.Nausea and vomiting.Rapid heart rate.Shock.
Abdominal aortic aneurysm repair - open;https://medlineplus.gov/ency/article/007392.htm;Open surgery to repair an AAA is sometimes done as an emergency procedure when there is bleeding inside your body from the aneurysm.You may have an AAA that is not causing any symptoms or problems. Your health care provider may have found the problem after you had anultrasoundorCT scandone for another reason. There is a risk that this aneurysm may suddenly break open (rupture) if you do not have surgery to repair it. However, surgery to repair the aneurysm may also be risky, depending on your overall health.You and your provider must decide whether the risk of having this surgery is smaller than the risk for rupture. Surgery is more likely to be suggested if the aneurysm is:Larger (about 2 inches or 5 centimeters)Growing more quickly (a little less than 1/4 inch over the last 6 to 12 months)
Abdominal aortic aneurysm repair - open - discharge;https://medlineplus.gov/ency/patientinstructions/000240.htm;Plan to have someone drive you home from the hospital. Do not drive yourself home.You should be able to do most of your regular activities in 4 to 8 weeks. Before that:Do not lift anything heavier than 10 to 15 pounds (5 to 7 kg) until you see your surgeon.Avoid all strenuous activity, including heavy exercising, weightlifting, and other activities that make you breathe hard or strain.Short walks and using stairs are OK.Light housework is OK.Do not push yourself too hard.Increase how much you exercise slowly.
