illness;symptoms
aarskog;['droopy eyelids']
aase;['droopy eyelids', 'pale skin']
achalasia;['chest pain', 'cough', 'difficulty swallowing', 'heartburn', 'weight loss']
acidemia;['seizure', 'vomiting']
acidosis;['anxiety', 'confusion', 'fatigue', 'irregular heartbeat', 'nausea', 'perspiration', 'shortness breath', 'tremor', 'vomiting', 'weakness']
acne;['rash', 'inflammation']
acromegaly;['excessive sweating', 'faint', 'fatigue', 'gruffness', 'high blood pressure', 'inflammation', 'jaw pain', 'joint pain', 'perspiration', 'shortness breath', 'swelling', 'weakness', 'weight gain', 'worry']
actinomycosis;['fever', 'swelling', 'weight loss']
addison;['abdominal pain', 'diarrhea', 'fatigue', 'fever', 'low blood pressure', 'low blood sugar', 'nausea', 'vertigo', 'vomiting', 'weakness', 'weight loss']
adenoid;['bad breath', 'ear pain', 'fever', 'hearing loss', 'snoring', 'sore throat', 'swelling']
adenoids;['bad breath', 'dry mouth', 'nasal congestion', 'runny nose']
adenoma;['confusion', 'constipation', 'muscle pain', 'nausea']
adenomyosis;['heavy menstrual bleeding', 'pelvic pain']
adhesion;['bloat', 'constipation', 'nausea', 'pelvic pain', 'swelling', 'vomiting']
adrenocortical;['weakness']
adrenoleukodystrophy;['hearing loss', 'hyperactivity', 'seizure', 'spasm', 'stiffness', 'uncontrolled movements', 'vomiting', 'weakness']
agammaglobulinemia;['diarrhea']
agoraphobia;['agitation', 'chest pain', 'choking', 'faint', 'nausea', 'perspiration', 'vertigo']
agranulocytosis;['chill', 'fever', 'sore throat', 'weakness']
aicardi;['spasm']
alcoholic;['abdominal pain', 'agitation', 'bruise', 'confusion', 'constipation', 'diarrhea', 'fatigue', 'heat intolerance', 'incontinence', 'inflammation', 'jaundice', 'loss appetite', 'nausea', 'numbness', 'rapid breathing', 'spasm', 'swelling', 'unsteady gait', 'vertigo', 'vomiting', 'weakness', 'weight loss']
alkalosis;['confusion', 'itch', 'muscle twitching', 'nausea', 'numbness', 'prickling', 'spasm', 'vertigo', 'vomiting']
allergic;['cough', 'dark circles', 'eye discharge', 'fatigue', 'fever', 'irritability', 'itch', 'nasal congestion', 'red eyes', 'runny nose', 'sneeze', 'sore throat', 'stuffy nose', 'watery eyes', 'worry']
allergies;['abdominal pain', 'confusion', 'cough', 'diarrhea', 'faint', 'fever', 'itch', 'low blood pressure', 'nausea', 'palpitation', 'rash', 'runny nose', 'skin peeling', 'skin rashes', 'stuffy nose', 'swelling', 'urtication', 'vertigo', 'vomiting', 'wheeze']
allergy;['itch', 'nausea', 'fever', 'diarrhea', 'sore throat', 'cough', 'stuffy nose', 'low blood pressure', 'chill', 'watery eyes', 'vertigo', 'worry', 'swelling', 'sneeze', 'wheeze', 'faint', 'runny nose', 'urtication', 'vomiting', 'chest pain', 'nasal congestion']
alopecia;['burning sensation', 'hair loss', 'itch']
alport;['blurred vision', 'excessive thirst', 'fatigue', 'hearing loss', 'high blood pressure', 'inflammation', 'itch', 'swelling']
als;['choking', 'depression', 'difficulty swallowing', 'gruffness', 'muscle stiffness', 'salivate', 'stiffness', 'weakness', 'weight loss']
alstrom;['hypothyroidism']
alzheimer;['agitation', 'delusion', 'depression', 'difficulty reading', 'forgetfulness', 'hallucination']
amebiasis;['diarrhea', 'fatigue', 'fever', 'vomiting', 'weight loss']
amebic;['abdominal pain', 'chill', 'cough', 'diarrhea', 'fever', 'jaundice', 'loss appetite', 'perspiration', 'weight loss']
aml;['bruise', 'fever', 'frequent infections', 'joint pain', 'loss appetite', 'night sweats', 'shortness breath']
amputation;['blood clots', 'breathing problems']
amyloid;['confusion', 'double vision', 'seizure', 'vomiting', 'weakness', 'worry']
amyloidosis;['diarrhea', 'fatigue', 'gruffness', 'irregular heartbeat', 'joint pain', 'numbness', 'palpitation', 'rash', 'shortness breath', 'swelling', 'weakness', 'weight gain', 'weight loss']
amyotrophic;['choking', 'depression', 'difficulty swallowing', 'gruffness', 'muscle stiffness', 'salivate', 'stiffness', 'weakness', 'weight loss']
anaphylaxis;['abdominal pain', 'cough', 'diarrhea', 'difficulty swallowing', 'inflammation', 'nasal congestion', 'nausea', 'palpitation', 'slurred speech', 'swelling', 'urtication', 'vertigo', 'vomiting', 'wheeze']
anaplastic;['cough', 'difficulty swallowing', 'gruffness', 'hyperthyroidism']
anemia;['depression', 'nausea', 'numbness', 'diarrhea', 'irregular heartbeat', 'constipation', 'bleeding gums', 'heartburn', 'prickling', 'cold hands and feet', 'confusion', 'hallucination', 'heavy menstrual bleeding', 'vertigo', 'worry', 'hair loss', 'delusion', 'rash', 'pale skin', 'memory loss', 'dark urine', 'abdominal pain', 'fatigue', 'irritability', 'palpitation', 'loss appetite', 'jaundice', 'loss balance', 'bruise', 'vomiting', 'chest pain', 'shortness breath', 'weakness']
aneurysm;['back pain', 'bruise', 'confusion', 'constipation', 'diarrhea', 'double vision', 'eye pain', 'gruffness', 'loss appetite', 'low blood pressure', 'nausea', 'neck pain', 'numbness', 'seizure', 'swelling', 'vertigo', 'vomiting', 'weakness', 'worry']
angelman;['heartburn', 'salivate', 'seizure']
angina;['chest pain', 'choking', 'confusion', 'difficulty swallowing', 'earache', 'fatigue', 'fever', 'high blood pressure', 'indigestion', 'inflammation', 'nausea', 'neck pain', 'palpitation', 'perspiration', 'salivate', 'shortness breath', 'swelling', 'tongue swelling', 'vertigo', 'vomiting', 'weakness']
angiodysplasia;['fatigue', 'shortness breath', 'weakness']
angioedema;['diarrhea', 'gruffness', 'rash', 'swelling', 'urtication', 'vomiting']
angiofibroma;['bruise', 'hearing loss', 'stuffy nose', 'swelling', 'worry']
angiopathy;['confusion', 'double vision', 'seizure', 'vomiting', 'weakness', 'worry']
anisocoria;['perspiration', 'swelling', 'worry']
ankylosing;['back pain', 'fatigue', 'fever', 'inflammation', 'stiffness', 'swelling']
anorectal;['chill', 'constipation', 'cough', 'fatigue', 'fever', 'inflammation', 'night sweats', 'swelling', 'throbbing pain']
anorexia;['depression', 'dry mouth', 'sensitivity cold', 'weight loss']
anthrax;['abdominal pain', 'chest pain', 'cough', 'diarrhea', 'fever', 'nausea', 'shortness breath', 'swelling', 'vomiting', 'worry']
antiglomerular;['burning sensation', 'cough', 'fatigue', 'loss appetite', 'nausea', 'pale skin', 'shortness breath', 'swelling', 'vomiting', 'weakness']
antiphospholipid;['blood clots', 'rash']
anxiety;['agitation', 'anxiety', 'confusion', 'depression', 'fatigue', 'irritability', 'nausea', 'perspiration', 'restlessness', 'tremor', 'worry']
apert;['hearing loss']
aplastic;['bleeding gums', 'bruise', 'fatigue', 'rash', 'shortness breath', 'vertigo', 'weakness']
apnea;['chronic fatigue', 'daytime sleepiness', 'depression', 'fatigue', 'high blood pressure', 'numbness', 'shortness breath', 'snoring', 'weakness', 'worry']
apoplexy;['double vision', 'frequent urination', 'hypothyroidism', 'loss appetite', 'low blood pressure', 'nausea', 'vomiting', 'worry']
appendicitis;['chill', 'cough', 'diarrhea', 'fever', 'loss appetite', 'nausea', 'vomiting']
aps;['blood clots', 'rash']
arrhythmias;['chest pain', 'faint', 'palpitation', 'perspiration', 'shortness breath', 'vertigo']
arteriosus;['delayed growth', 'fatigue', 'rapid breathing', 'shortness breath']
arteriovenous;['confusion', 'numbness', 'seizure', 'tinnitus', 'vertigo', 'weakness', 'worry']
arteritis;['blurred vision', 'chest pain', 'double vision', 'fatigue', 'fever', 'high blood pressure', 'inflammation', 'jaw pain', 'joint pain', 'night sweats', 'rash', 'stiffness', 'vertigo', 'weakness', 'weight loss', 'worry']
arthritis;['eye pain', 'fever', 'diarrhea', 'numbness', 'eye discharge', 'prickling', 'chill', 'dry eyes', 'stiffness', 'red eyes', 'swelling', 'rash', 'pale skin', 'abdominal pain', 'fatigue', 'joint pain', 'inflammation', 'back pain', 'chest pain', 'itch', 'weakness']
asbestosis;['chest tightness', 'chest pain', 'cough', 'shortness breath']
ascariasis;['cough', 'fever', 'rash', 'shortness breath', 'vomiting', 'wheeze']
ascites;['abdominal pain', 'bloat', 'shortness breath']
asd;['palpitation', 'shortness breath']
aseptic;['blurred vision', 'confusion', 'fever', 'irritability', 'nausea', 'seizure', 'sensitivity light', 'vomiting', 'worry']
aspergillosis;['skin lesions', 'weight loss', 'fever', 'joint pain', 'wheeze', 'fatigue', 'cough', 'stuffy nose', 'chill', 'facial pain', 'chest pain', 'worry', 'shortness breath']
asthma;['anxiety', 'breathing problems', 'confusion', 'cough', 'difficulty sleeping', 'difficulty speaking', 'fever', 'irregular heartbeat', 'irritability', 'perspiration', 'restlessness', 'shortness breath', 'spasm', 'wheeze', 'worry']
ataxia;['hearing loss', 'loss coordination', 'seizure', 'unsteady gait', 'weakness']
atelectasis;['chest pain', 'cough']
atherosclerosis;['chest pain', 'shortness breath']
atopic;['dry skin', 'ear discharge', 'inflammation', 'itch', 'rash']
atresia;['breathing problems', 'choking', 'cough', 'dark urine', 'fatigue', 'jaundice', 'salivate', 'shortness breath', 'swelling', 'vomiting']
atrial;['anxiety', 'bruise', 'chest pain', 'chest tightness', 'confusion', 'cough', 'faint', 'fatigue', 'fever', 'joint pain', 'palpitation', 'perspiration', 'shortness breath', 'swelling', 'vertigo', 'weakness', 'weight loss']
atrophy;['blurred vision', 'breathing problems', 'cold hands and feet', 'confusion', 'depression', 'difficulty chewing', 'difficulty swallowing', 'difficulty walking', 'faint', 'loss balance', 'muscle stiffness', 'nausea', 'perspiration', 'shortness breath', 'slowness', 'spasm', 'stiffness', 'tremor', 'vertigo', 'weakness', 'worry']
autoimmune;['dark urine', 'fatigue', 'fever', 'itch', 'joint pain', 'loss appetite', 'nausea', 'rash', 'vomiting']
autonomic;['anxiety', 'blurry vision', 'constipation', 'diarrhea', 'faint', 'fever', 'heat intolerance', 'high blood pressure', 'irregular heartbeat', 'nasal congestion', 'nausea', 'nausea after eating', 'perspiration', 'pilomotor reflex', 'shortness breath', 'spasm', 'vertigo', 'vomiting', 'weight loss', 'worry']
